"topic","question","format","optionA","optionB","optionC","optionD","correctAnswer","marks","negativeMarks","timeLimitSec","difficulty","tags","explanation","syllabusVersion","objectiveCode","answerValidationMethod","answerValidationReference","distractorReviewNote"
"Git snapshots and inspection","A tracked file has edits in the working tree but has not been staged. Which command shows those unstaged changes?","mcq_single","git log -p","git diff --staged","git diff","git show HEAD","C","1","0","60","easy","git,diff,working-tree","git diff compares the working tree with the index by default, so it shows tracked changes that have not been staged.","OCT-GLDW-2026.1","GLDW-GSI-01","primary_source","https://git-scm.com/docs/git-diff","Author checked all three distractors against GLDW-GSI-01 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","Which command stages only the file src/app.js for the next commit?","mcq_single","git commit src/app.js","git track src/app.js","git push src/app.js","git add src/app.js","D","1","0","60","easy","git,index,staging","git add updates the index with the selected path; a later commit records the staged content.","OCT-GLDW-2026.1","GLDW-GSI-02","primary_source","https://git-scm.com/docs/git-add","Author checked all three distractors against GLDW-GSI-02 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","A developer wants to inspect changes already staged for the next commit. Which command is appropriate?","mcq_single","git status --short HEAD~1","git diff --no-index","git show --worktree","git diff --staged","D","1","0","60","easy","git,diff,index","git diff --staged compares the index with HEAD and displays the changes prepared for the next commit.","OCT-GLDW-2026.1","GLDW-GSI-03","primary_source","https://git-scm.com/docs/git-diff","Author checked all three distractors against GLDW-GSI-03 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","What does a Git commit primarily record?","mcq_single","A copy of the remote repository settings","A snapshot of the staged project state plus metadata","Only the lines changed since the previous commit","Every untracked file anywhere on the computer","B","1","0","60","easy","git,commit,index","A commit records a project snapshot derived from the index, together with metadata such as author, time and message.","OCT-GLDW-2026.1","GLDW-GSI-04","primary_source","https://git-scm.com/docs/git-commit","Author checked all three distractors against GLDW-GSI-04 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","Which command gives a concise view of the current branch and the state of tracked, staged and untracked files?","mcq_single","git archive","git status","git describe","git verify-pack","B","1","0","60","easy","git,status,working-tree","git status reports branch and working-tree/index state without changing repository content.","OCT-GLDW-2026.1","GLDW-GSI-05","primary_source","https://git-scm.com/docs/git-status","Author checked all three distractors against GLDW-GSI-05 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","A file is listed by git status as untracked. What does that mean?","mcq_single","It was deleted from every commit in the repository","Git has staged it automatically","It is tracked only on the remote","It exists in the working tree but is not in the index or a commit","D","1","0","60","easy","git,untracked,index","An untracked file exists locally but Git has not been instructed to include it in the index.","OCT-GLDW-2026.1","GLDW-GSI-06","primary_source","https://git-scm.com/docs/git-status","Author checked all three distractors against GLDW-GSI-06 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","Which command displays the commit and patch represented by HEAD without changing files?","mcq_single","git reset HEAD","git show HEAD","git restore HEAD","git clean HEAD","B","1","0","60","medium","git,show,inspection","git show displays an object; for a commit it includes commit metadata and its patch by default.","OCT-GLDW-2026.1","GLDW-GSI-07","primary_source","https://git-scm.com/docs/git-show","Author checked all three distractors against GLDW-GSI-07 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","A developer staged a secret.env file by mistake but wants to keep the local file unchanged. Which command removes it from the index for the next commit?","mcq_single","git restore --staged secret.env","git restore secret.env","git clean -f secret.env","git revert secret.env","A","1","0","75","medium","git,restore,index,safety","git restore --staged updates the index entry while leaving the working-tree file in place.","OCT-GLDW-2026.1","GLDW-GSI-08","primary_source","https://git-scm.com/docs/git-restore","Author checked all three distractors against GLDW-GSI-08 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","Which statement about .gitignore is correct?","mcq_single","It blocks matching files from being read by the operating system","It removes matching files already stored in all commits","It encrypts matching files before commit","It prevents matching untracked paths from being considered for ordinary adds","D","1","0","75","medium","git,gitignore,untracked","Ignore rules normally affect untracked paths; a file already tracked must be removed from the index separately if it should stop being tracked.","OCT-GLDW-2026.1","GLDW-GSI-09","primary_source","https://git-scm.com/docs/gitignore","Author checked all three distractors against GLDW-GSI-09 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git snapshots and inspection","A developer needs to find which commit last changed a particular line in config.yml. Which command is designed for that investigation?","mcq_single","git blame config.yml","git stash config.yml","git tag config.yml","git gc config.yml","A","1","0","75","medium","git,blame,history","git blame annotates file lines with the commits and authors that last changed them, supporting targeted history investigation.","OCT-GLDW-2026.1","GLDW-GSI-10","primary_source","https://git-scm.com/docs/git-blame","Author checked all three distractors against GLDW-GSI-10 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","What does creating a new branch normally create in Git?","mcq_single","A mandatory remote repository","A complete second copy of every repository object","A movable name pointing to a commit","A compressed archive of the working tree","C","1","0","60","easy","git,branch,refs","A branch is a reference that points to a commit and advances as new commits are made on it.","OCT-GLDW-2026.1","GLDW-GBI-01","primary_source","https://git-scm.com/docs/git-branch","Author checked all three distractors against GLDW-GBI-01 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","Which command creates and switches to a new branch named feature/login?","mcq_single","git switch -c feature/login","git branch --delete feature/login","git merge feature/login","git tag -f feature/login","A","1","0","60","easy","git,branch,switch","git switch -c creates the named branch at the current start point and switches HEAD to it.","OCT-GLDW-2026.1","GLDW-GBI-02","primary_source","https://git-scm.com/docs/git-switch","Author checked all three distractors against GLDW-GBI-02 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","When can Git perform a fast-forward integration?","mcq_single","When the current branch tip is an ancestor of the branch being integrated","Whenever both branches changed the same line","Only when the repository has no remote","Only after deleting the current branch","A","1","0","75","medium","git,merge,fast-forward","If the current tip is already an ancestor, Git can move the branch reference forward without creating a merge commit.","OCT-GLDW-2026.1","GLDW-GBI-03","primary_source","https://git-scm.com/docs/git-merge","Author checked all three distractors against GLDW-GBI-03 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","A merge stops with conflict markers in app.ts. What is the correct completion sequence after choosing the desired content?","mcq_single","Delete the .git directory, then clone again","Push the conflict markers to let the server decide","Edit the file, stage it, then complete the merge commit","Run git clean and assume the merge completed","C","1","0","90","medium","git,merge,conflict","Conflicts require resolving the working-tree content, staging the resolution, and completing the merge.","OCT-GLDW-2026.1","GLDW-GBI-04","primary_source","https://git-scm.com/docs/git-merge","Author checked all three distractors against GLDW-GBI-04 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","Which command abandons an in-progress merge and attempts to return to the pre-merge state?","mcq_single","git branch --abort","git merge --publish","git commit --discard","git merge --abort","D","1","0","60","easy","git,merge,recovery","git merge --abort is the merge-specific operation for abandoning an unresolved merge.","OCT-GLDW-2026.1","GLDW-GBI-05","primary_source","https://git-scm.com/docs/git-merge","Author checked all three distractors against GLDW-GBI-05 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","What is the central effect of rebasing a feature branch onto main?","mcq_single","The working tree becomes read-only","The feature branch is converted into a remote","Its commits are replayed on top of the selected base, producing new commit identities","All commits on main are permanently deleted","C","1","0","90","medium","git,rebase,history","Rebase reapplies changes onto a new base; the recreated commits have different parentage and object IDs.","OCT-GLDW-2026.1","GLDW-GBI-06","primary_source","https://git-scm.com/docs/git-rebase","Author checked all three distractors against GLDW-GBI-06 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","Why should a team avoid rebasing commits that coworkers already use from a shared branch?","mcq_single","Rebase always deletes untracked files","Rebase disables all future merges in the repository","Rebase rewrites commit identities and can force collaborators to reconcile divergent history","Rebase changes file permissions on the server","C","1","0","90","medium","git,rebase,collaboration,safety","Rewriting shared history replaces commits, so collaborators holding the old history must perform error-prone reconciliation.","OCT-GLDW-2026.1","GLDW-GBI-07","primary_source","https://git-scm.com/docs/git-rebase","Author checked all three distractors against GLDW-GBI-07 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","Which command lists local branches and marks the currently checked-out branch?","mcq_single","git remote","git reflog expire","git branch","git worktree prune","C","1","0","60","easy","git,branch,inspection","With no branch name, git branch lists local branches and indicates the current one.","OCT-GLDW-2026.1","GLDW-GBI-08","primary_source","https://git-scm.com/docs/git-branch","Author checked all three distractors against GLDW-GBI-08 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","A release commit on main must also be applied to a maintenance branch without merging unrelated main history. Which operation best fits?","mcq_single","Force-push main over the maintenance branch","Delete and recreate the maintenance branch from main","Cherry-pick the specific commit onto the maintenance branch","Add the commit hash to .gitignore","C","1","0","90","hard","git,cherry-pick,release","Cherry-pick applies the change introduced by selected commits onto the current branch without integrating every other commit from the source branch.","OCT-GLDW-2026.1","GLDW-GBI-09","primary_source","https://git-scm.com/docs/git-cherry-pick","Author checked all three distractors against GLDW-GBI-09 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git branches and integration","Two independent branches both add different commits after their common ancestor. What kind of history results from a normal non-fast-forward merge?","mcq_single","The repository loses its common ancestor","A merge commit with both branch tips as parents","Every commit receives the same object ID","One branch is silently discarded","B","1","0","90","medium","git,merge,dag","A true merge records both histories by creating a commit with multiple parents.","OCT-GLDW-2026.1","GLDW-GBI-10","primary_source","https://git-scm.com/docs/git-merge","Author checked all three distractors against GLDW-GBI-10 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","What does git fetch normally do?","mcq_single","Downloads remote objects and updates remote-tracking references without integrating them into the current branch","Stages every downloaded file for a local commit","Deletes local commits not present on the remote","Merges the remote branch and always creates a merge commit","A","1","0","60","easy","git,fetch,remote","Fetch updates knowledge of the remote while leaving current branch integration as a separate decision.","OCT-GLDW-2026.1","GLDW-GCR-01","primary_source","https://git-scm.com/docs/git-fetch","Author checked all three distractors against GLDW-GCR-01 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","Which statement accurately describes git pull?","mcq_single","It uploads local commits but never downloads","It fetches and then integrates according to the configured or requested strategy","It only lists remote branches","It removes the configured upstream","B","1","0","60","easy","git,pull,remote","Pull combines fetching with an integration step such as merge or rebase.","OCT-GLDW-2026.1","GLDW-GCR-02","primary_source","https://git-scm.com/docs/git-pull","Author checked all three distractors against GLDW-GCR-02 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","A pushed commit introduced a bug on a shared main branch. Which action best preserves shared history while undoing the change?","mcq_single","Create a revert commit for the faulty commit","Force-reset main to the previous commit","Delete the remote repository","Amend the pushed commit locally without coordinating","A","1","0","90","medium","git,revert,shared-history","Revert makes a new commit that applies the inverse change, retaining an auditable shared history.","OCT-GLDW-2026.1","GLDW-GCR-03","primary_source","https://git-scm.com/docs/git-revert","Author checked all three distractors against GLDW-GCR-03 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","What does git push primarily attempt to update?","mcq_single","The global Git installation","References in a remote repository, while transferring required objects","The local working tree permissions","Only the local index","B","1","0","60","easy","git,push,remote","Push transfers objects and asks the remote to update selected references, subject to server and fast-forward rules.","OCT-GLDW-2026.1","GLDW-GCR-04","primary_source","https://git-scm.com/docs/git-push","Author checked all three distractors against GLDW-GCR-04 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","A normal push is rejected because the remote branch contains work not present locally. What is the safest general next step?","mcq_single","Change the file timestamps and retry","Immediately force-push without inspecting","Delete the local .git directory","Fetch the remote work, inspect and integrate it, test, then push","D","1","0","90","medium","git,push,collaboration,safety","A non-fast-forward rejection protects remote work; integrate and validate that work before trying again.","OCT-GLDW-2026.1","GLDW-GCR-05","primary_source","https://git-scm.com/docs/git-push","Author checked all three distractors against GLDW-GCR-05 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","Which Git mechanism records recent movements of local references and can help locate a commit after an accidental reset?","mcq_single","The ignore file","The remote URL","The attributes file","The reflog","D","1","0","75","medium","git,reflog,recovery","The reflog records local reference updates for a retention period and often exposes the previous commit ID.","OCT-GLDW-2026.1","GLDW-GCR-06","primary_source","https://git-scm.com/docs/git-reflog","Author checked all three distractors against GLDW-GCR-06 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","A developer has unfinished tracked and untracked work and must switch tasks temporarily. Which command includes untracked files in a new stash?","mcq_single","git stash push -u","git stash drop -u","git clean -u","git archive -u","A","1","0","75","medium","git,stash,working-tree","git stash push -u stores tracked changes and includes untracked files; ignored files require a different option.","OCT-GLDW-2026.1","GLDW-GCR-07","primary_source","https://git-scm.com/docs/git-stash","Author checked all three distractors against GLDW-GCR-07 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","What is the difference between git stash apply and git stash pop when application succeeds?","mcq_single","There is no behavioral difference","apply keeps the stash entry; pop removes it after applying","apply stages every file; pop never changes files","apply pushes to a remote; pop creates a branch","B","1","0","75","medium","git,stash,recovery","Both can restore stashed changes, but pop also drops the successfully applied stash entry.","OCT-GLDW-2026.1","GLDW-GCR-08","primary_source","https://git-scm.com/docs/git-stash","Author checked all three distractors against GLDW-GCR-08 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","Which command creates a local repository by copying an existing repository and configuring its source as a remote?","mcq_single","git copy --history","git init --remote-only","git fork","git clone","D","1","0","60","easy","git,clone,remote","git clone creates a working repository from an existing one and normally configures origin to reference the source.","OCT-GLDW-2026.1","GLDW-GCR-09","primary_source","https://git-scm.com/docs/git-clone","Author checked all three distractors against GLDW-GCR-09 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Git collaboration and recovery","Why is git push --force-with-lease generally safer than plain --force during coordinated history rewriting?","mcq_single","It guarantees tests have passed before pushing","It converts rewritten commits into merge commits","It encrypts all repository objects","It refuses the update when the remote reference differs from the expected value","D","1","0","90","hard","git,push,force-with-lease,safety","The lease checks that the remote is still at the expected state, reducing the risk of overwriting unseen collaborator work.","OCT-GLDW-2026.1","GLDW-GCR-10","primary_source","https://git-scm.com/docs/git-push","Author checked all three distractors against GLDW-GCR-10 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
